Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Flags
ARP,10.0.2.4,,10.0.2.5,
ARP,10.0.2.5,,10.0.2.4,
DNS,10.0.2.4,42639,10.0.2.1,53
DNS,10.0.2.1,53,10.0.2.4,42639
DNS,10.0.2.4,42639,10.0.2.1,53
DNS,10.0.2.1,53,10.0.2.4,42639
TCP,10.0.2.4,38183,10.0.2.5,113,S
TCP,10.0.2.4,38183,10.0.2.5,25,S
TCP,10.0.2.4,38183,10.0.2.5,587,S
TCP,10.0.2.4,38183,10.0.2.5,443,S
TCP,10.0.2.4,38183,10.0.2.5,995,S
TCP,10.0.2.4,38183,10.0.2.5,1723,S
TCP,10.0.2.4,38183,10.0.2.5,199,S
TCP,10.0.2.4,38183,10.0.2.5,256,S
TCP,10.0.2.4,38183,10.0.2.5,8080,S
TCP,10.0.2.4,38183,10.0.2.5,53,S
TCP,10.0.2.5,113,10.0.2.4,38183,AR
TCP,10.0.2.5,25,10.0.2.4,38183,AR
TCP,10.0.2.5,587,10.0.2.4,38183,AR
TCP,10.0.2.5,443,10.0.2.4,38183,AR
TCP,10.0.2.5,995,10.0.2.4,38183,AR
TCP,10.0.2.5,1723,10.0.2.4,38183,AR
TCP,10.0.2.5,199,10.0.2.4,38183,AR
TCP,10.0.2.5,256,10.0.2.4,38183,AR
TCP,10.0.2.5,8080,10.0.2.4,38183,AR
TCP,10.0.2.5,53,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,3306,S
TCP,10.0.2.4,38183,10.0.2.5,993,S
TCP,10.0.2.4,38183,10.0.2.5,1025,S
TCP,10.0.2.4,38183,10.0.2.5,143,S
TCP,10.0.2.4,38183,10.0.2.5,110,S
TCP,10.0.2.4,38183,10.0.2.5,1720,S
TCP,10.0.2.4,38183,10.0.2.5,3389,S
TCP,10.0.2.4,38183,10.0.2.5,23,S
TCP,10.0.2.4,38183,10.0.2.5,554,S
TCP,10.0.2.4,38183,10.0.2.5,22,S
TCP,10.0.2.4,38183,10.0.2.5,445,S
TCP,10.0.2.4,38183,10.0.2.5,139,S
TCP,10.0.2.4,38183,10.0.2.5,21,S
TCP,10.0.2.5,3306,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,80,S
TCP,10.0.2.5,993,10.0.2.4,38183,AR
TCP,10.0.2.5,1025,10.0.2.4,38183,AR
TCP,10.0.2.5,143,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,5900,S
TCP,10.0.2.5,110,10.0.2.4,38183,AR
TCP,10.0.2.5,1720,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,135,S
TCP,10.0.2.5,3389,10.0.2.4,38183,AR
TCP,10.0.2.5,23,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,8888,S
TCP,10.0.2.4,38183,10.0.2.5,111,S
TCP,10.0.2.5,554,10.0.2.4,38183,AR
TCP,10.0.2.5,22,10.0.2.4,38183,AR
TCP,10.0.2.5,445,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,2191,S
TCP,10.0.2.4,38183,10.0.2.5,2100,S
TCP,10.0.2.5,139,10.0.2.4,38183,AR
TCP,10.0.2.5,21,10.0.2.4,38183,AR
TCP,10.0.2.5,80,10.0.2.4,38183,AR
TCP,10.0.2.5,5900,10.0.2.4,38183,AR
TCP,10.0.2.5,135,10.0.2.4,38183,AR
TCP,10.0.2.5,8888,10.0.2.4,38183,AR
TCP,10.0.2.5,111,10.0.2.4,38183,AR
TCP,10.0.2.5,2191,10.0.2.4,38183,AR
TCP,10.0.2.5,2100,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,1089,S
TCP,10.0.2.4,38183,10.0.2.5,20000,S
TCP,10.0.2.4,38183,10.0.2.5,9102,S
TCP,10.0.2.4,38183,10.0.2.5,667,S
TCP,10.0.2.4,38183,10.0.2.5,5566,S
TCP,10.0.2.4,38183,10.0.2.5,57294,S
TCP,10.0.2.4,38183,10.0.2.5,4224,S
TCP,10.0.2.5,1089,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,1108,S
TCP,10.0.2.4,38183,10.0.2.5,6839,S
TCP,10.0.2.5,20000,10.0.2.4,38183,AR
TCP,10.0.2.5,9102,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,1719,S
TCP,10.0.2.4,38183,10.0.2.5,9593,S
TCP,10.0.2.5,667,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,8651,S
TCP,10.0.2.4,38183,10.0.2.5,1145,S
TCP,10.0.2.5,5566,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,2068,S
TCP,10.0.2.4,38183,10.0.2.5,8654,S
TCP,10.0.2.5,57294,10.0.2.4,38183,AR
TCP,10.0.2.5,4224,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,1039,S
TCP,10.0.2.4,38183,10.0.2.5,8383,S
TCP,10.0.2.5,1108,10.0.2.4,38183,AR
TCP,10.0.2.5,6839,10.0.2.4,38183,AR
TCP,10.0.2.5,1719,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,8180,S
TCP,10.0.2.4,38183,10.0.2.5,3372,S
TCP,10.0.2.4,38183,10.0.2.5,9,S
TCP,10.0.2.4,38183,10.0.2.5,9535,S
TCP,10.0.2.4,38183,10.0.2.5,2222,S
TCP,10.0.2.5,9593,10.0.2.4,38183,AR
TCP,10.0.2.5,8651,10.0.2.4,38183,AR
TCP,10.0.2.5,1145,10.0.2.4,38183,AR
TCP,10.0.2.5,2068,10.0.2.4,38183,AR
TCP,10.0.2.5,8654,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,2021,S
TCP,10.0.2.4,38183,10.0.2.5,1056,S
TCP,10.0.2.5,1039,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,2875,S
TCP,10.0.2.5,8383,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,1084,S
TCP,10.0.2.4,38183,10.0.2.5,3333,S
TCP,10.0.2.4,38183,10.0.2.5,1030,S
TCP,10.0.2.5,8180,10.0.2.4,38183,AR
TCP,10.0.2.5,3372,10.0.2.4,38183,AR
TCP,10.0.2.5,9,10.0.2.4,38183,AR
TCP,10.0.2.5,9535,10.0.2.4,38183,AR
TCP,10.0.2.5,2222,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,2607,S
TCP,10.0.2.4,38183,10.0.2.5,2126,S
TCP,10.0.2.4,38183,10.0.2.5,1152,S
TCP,10.0.2.4,38183,10.0.2.5,8800,S
TCP,10.0.2.4,38183,10.0.2.5,726,S
TCP,10.0.2.4,38183,10.0.2.5,12000,S
TCP,10.0.2.5,2021,10.0.2.4,38183,AR
TCP,10.0.2.5,1056,10.0.2.4,38183,AR
TCP,10.0.2.5,2875,10.0.2.4,38183,AR
TCP,10.0.2.5,1084,10.0.2.4,38183,AR
TCP,10.0.2.5,3333,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,7,S
TCP,10.0.2.4,38183,10.0.2.5,13782,S
TCP,10.0.2.4,38183,10.0.2.5,50002,S
TCP,10.0.2.5,1030,10.0.2.4,38183,AR
TCP,10.0.2.5,2607,10.0.2.4,38183,AR
TCP,10.0.2.5,2126,10.0.2.4,38183,AR
TCP,10.0.2.5,1152,10.0.2.4,38183,AR
TCP,10.0.2.5,8800,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,4129,S
TCP,10.0.2.5,726,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,5633,S
TCP,10.0.2.4,38183,10.0.2.5,1088,S
TCP,10.0.2.5,12000,10.0.2.4,38183,AR
TCP,10.0.2.5,7,10.0.2.4,38183,AR
TCP,10.0.2.5,13782,10.0.2.4,38183,AR
TCP,10.0.2.5,50002,10.0.2.4,38183,AR
TCP,10.0.2.5,4129,10.0.2.4,38183,AR
TCP,10.0.2.5,5633,10.0.2.4,38183,AR
TCP,10.0.2.5,1088,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,7201,S
TCP,10.0.2.4,38183,10.0.2.5,3690,S
TCP,10.0.2.4,38183,10.0.2.5,1117,S
TCP,10.0.2.4,38183,10.0.2.5,2968,S
TCP,10.0.2.4,38183,10.0.2.5,6006,S
TCP,10.0.2.4,38183,10.0.2.5,5988,S
TCP,10.0.2.4,38183,10.0.2.5,3,S
TCP,10.0.2.4,38183,10.0.2.5,5500,S
