"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","PcsCompu_92:ab:0d","Broadcast","ARP","42","Who has 10.0.2.5? Tell 10.0.2.4"
"2","0.000366","PcsCompu_e6:d9:34","PcsCompu_92:ab:0d","ARP","60","10.0.2.5 is at 08:00:27:e6:d9:34"
"3","0.035627","10.0.2.4","10.0.2.1","DNS","92","Standard query 0xffe5 PTR 5.2.0.10.in-addr.arpa OPT"
"4","0.037648","10.0.2.1","10.0.2.4","DNS","92","Standard query response 0xffe5 No such name PTR 5.2.0.10.in-addr.arpa OPT"
"5","0.037812","10.0.2.4","10.0.2.1","DNS","81","Standard query 0xffe5 PTR 5.2.0.10.in-addr.arpa"
"6","0.039323","10.0.2.1","10.0.2.4","DNS","81","Standard query response 0xffe5 No such name PTR 5.2.0.10.in-addr.arpa"
"7","0.080797","10.0.2.4","10.0.2.5","TCP","58","38183  >  113 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"8","0.080853","10.0.2.4","10.0.2.5","TCP","58","38183  >  25 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"9","0.080872","10.0.2.4","10.0.2.5","TCP","58","38183  >  587 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"10","0.080886","10.0.2.4","10.0.2.5","TCP","58","38183  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"11","0.080902","10.0.2.4","10.0.2.5","TCP","58","38183  >  995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"12","0.080920","10.0.2.4","10.0.2.5","TCP","58","38183  >  1723 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"13","0.080954","10.0.2.4","10.0.2.5","TCP","58","38183  >  199 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"14","0.080988","10.0.2.4","10.0.2.5","TCP","58","38183  >  256 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"15","0.081013","10.0.2.4","10.0.2.5","TCP","58","38183  >  8080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"16","0.081034","10.0.2.4","10.0.2.5","TCP","58","38183  >  53 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"17","0.081238","10.0.2.5","10.0.2.4","TCP","60","113  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"18","0.081239","10.0.2.5","10.0.2.4","TCP","60","25  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"19","0.081239","10.0.2.5","10.0.2.4","TCP","60","587  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"20","0.081239","10.0.2.5","10.0.2.4","TCP","60","443  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"21","0.081239","10.0.2.5","10.0.2.4","TCP","60","995  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"22","0.081239","10.0.2.5","10.0.2.4","TCP","60","1723  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"23","0.081239","10.0.2.5","10.0.2.4","TCP","60","199  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"24","0.081410","10.0.2.5","10.0.2.4","TCP","60","256  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"25","0.081410","10.0.2.5","10.0.2.4","TCP","60","8080  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"26","0.081410","10.0.2.5","10.0.2.4","TCP","60","53  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"27","0.081535","10.0.2.4","10.0.2.5","TCP","58","38183  >  3306 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"28","0.081570","10.0.2.4","10.0.2.5","TCP","58","38183  >  993 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"29","0.081587","10.0.2.4","10.0.2.5","TCP","58","38183  >  1025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"30","0.081631","10.0.2.4","10.0.2.5","TCP","58","38183  >  143 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"31","0.081660","10.0.2.4","10.0.2.5","TCP","58","38183  >  110 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"32","0.081709","10.0.2.4","10.0.2.5","TCP","58","38183  >  1720 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"33","0.081738","10.0.2.4","10.0.2.5","TCP","58","38183  >  3389 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"34","0.081779","10.0.2.4","10.0.2.5","TCP","58","38183  >  23 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"35","0.081816","10.0.2.4","10.0.2.5","TCP","58","38183  >  554 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"36","0.081868","10.0.2.4","10.0.2.5","TCP","58","38183  >  22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"37","0.081905","10.0.2.4","10.0.2.5","TCP","58","38183  >  445 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"38","0.081959","10.0.2.4","10.0.2.5","TCP","58","38183  >  139 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"39","0.082008","10.0.2.4","10.0.2.5","TCP","58","38183  >  21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"40","0.082037","10.0.2.5","10.0.2.4","TCP","60","3306  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"41","0.082042","10.0.2.4","10.0.2.5","TCP","58","38183  >  80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"42","0.082037","10.0.2.5","10.0.2.4","TCP","60","993  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"43","0.082037","10.0.2.5","10.0.2.4","TCP","60","1025  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"44","0.082037","10.0.2.5","10.0.2.4","TCP","60","143  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"45","0.082076","10.0.2.4","10.0.2.5","TCP","58","38183  >  5900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"46","0.082156","10.0.2.5","10.0.2.4","TCP","60","110  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"47","0.082157","10.0.2.5","10.0.2.4","TCP","60","1720  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"48","0.082161","10.0.2.4","10.0.2.5","TCP","58","38183  >  135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"49","0.082157","10.0.2.5","10.0.2.4","TCP","60","3389  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"50","0.082157","10.0.2.5","10.0.2.4","TCP","60","23  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"51","0.082197","10.0.2.4","10.0.2.5","TCP","58","38183  >  8888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"52","0.082230","10.0.2.4","10.0.2.5","TCP","58","38183  >  111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"53","0.082244","10.0.2.5","10.0.2.4","TCP","60","554  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"54","0.082244","10.0.2.5","10.0.2.4","TCP","60","22  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"55","0.082244","10.0.2.5","10.0.2.4","TCP","60","445  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"56","0.082249","10.0.2.4","10.0.2.5","TCP","58","38183  >  2191 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"57","0.082266","10.0.2.4","10.0.2.5","TCP","58","38183  >  2100 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"58","0.082420","10.0.2.5","10.0.2.4","TCP","60","139  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"59","0.082641","10.0.2.5","10.0.2.4","TCP","60","21  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"60","0.082641","10.0.2.5","10.0.2.4","TCP","60","80  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"61","0.082641","10.0.2.5","10.0.2.4","TCP","60","5900  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"62","0.082641","10.0.2.5","10.0.2.4","TCP","60","135  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"63","0.082642","10.0.2.5","10.0.2.4","TCP","60","8888  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"64","0.082789","10.0.2.5","10.0.2.4","TCP","60","111  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"65","0.082789","10.0.2.5","10.0.2.4","TCP","60","2191  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"66","0.082789","10.0.2.5","10.0.2.4","TCP","60","2100  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"67","0.082869","10.0.2.4","10.0.2.5","TCP","58","38183  >  1089 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"68","0.082901","10.0.2.4","10.0.2.5","TCP","58","38183  >  20000 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"69","0.082920","10.0.2.4","10.0.2.5","TCP","58","38183  >  9102 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"70","0.082946","10.0.2.4","10.0.2.5","TCP","58","38183  >  667 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"71","0.082977","10.0.2.4","10.0.2.5","TCP","58","38183  >  5566 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"72","0.083026","10.0.2.4","10.0.2.5","TCP","58","38183  >  57294 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"73","0.083108","10.0.2.4","10.0.2.5","TCP","58","38183  >  4224 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"74","0.083122","10.0.2.5","10.0.2.4","TCP","60","1089  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"75","0.083147","10.0.2.4","10.0.2.5","TCP","58","38183  >  1108 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"76","0.083193","10.0.2.4","10.0.2.5","TCP","58","38183  >  6839 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"77","0.083193","10.0.2.5","10.0.2.4","TCP","60","20000  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"78","0.083193","10.0.2.5","10.0.2.4","TCP","60","9102  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"79","0.083225","10.0.2.4","10.0.2.5","TCP","58","38183  >  1719 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"80","0.083271","10.0.2.4","10.0.2.5","TCP","58","38183  >  9593 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"81","0.083287","10.0.2.5","10.0.2.4","TCP","60","667  >  38183 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"82","0.083308","10.0.2.4","10.0.2.5","TCP","58","38183  >  8651 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"83","0.083360","10.0.2.4","10.0.2.5","TCP","58","38183  >  1145 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
